WKT,full_id,osm_id,osm_type,highway,lanes,maxspeed,name,oneway,old_name,surface,maxspeed_g,official_n,source_max,alt_name,nat_name
"MULTILINESTRING ((120.9915803 14.5703978,120.9915047 14.5703126))",w156307498,"156307498",way,trunk,"4","60",President Quirino Avenue,yes,Harrison Boulevard,,,,MMDA,,
"MULTILINESTRING ((120.984962 14.5642556,120.9850984 14.5642677))",w156307500,"156307500",way,trunk,"2","60",President Quirino Avenue,yes,Harrison Boulevard,asphalt,,,MMDA,,
"MULTILINESTRING ((120.9779706 14.5784948,120.9784756 14.5776301,120.9785399 14.5775184,120.9785736 14.5774531,120.9792208 14.5763093,120.9797241 14.5753625,120.9803721 14.5741819,120.9807425 14.5734203,120.9809511 14.5730182,120.9809771 14.5729702,120.9812951 14.5723836,120.9815888 14.5717814,120.982081 14.5707183,120.9824726 14.5698785,120.9829582 14.568783,120.9830729 14.5685302,120.9839289 14.5666119,120.9843938 14.5655543,120.9846734 14.5649152))",w156307501,"156307501",way,trunk,"4","60",Roxas Boulevard,yes,Cavite Boulevard,,,,,,
"MULTILINESTRING ((120.986794 14.5604631,120.9862547 14.5616529))",w156307503,"156307503",way,trunk,"4","60",Roxas Boulevard,yes,Dewey Boulevard,,,,,,
"MULTILINESTRING ((120.9870477 14.5594944,120.987385 14.5586118))",w156307506,"156307506",way,trunk,"4","60",Roxas Boulevard,yes,Dewey Boulevard,,,,,,
"MULTILINESTRING ((120.987385 14.5586118,120.987411 14.5584094,120.9874594 14.5582422))",w156307507,"156307507",way,trunk,"2","60",Roxas Boulevard,yes,,,,,,,
"MULTILINESTRING ((120.9894418 14.552784,120.9892208 14.5534926,120.9889384 14.5543621,120.9888187 14.5546255))",w156307509,"156307509",way,trunk,"2","60",Roxas Boulevard,yes,,,,,,,
"MULTILINESTRING ((120.9888187 14.5546255,120.9887809 14.5547689,120.9883148 14.5562513,120.9881199 14.5568606,120.9876862 14.5582095))",w156307510,"156307510",way,trunk,"4","60",Roxas Boulevard,yes,Dewey Boulevard,,,,,,
"MULTILINESTRING ((120.9921892 14.5393048,120.9924556 14.5370725,120.9926622 14.5351962))",w156420784,"156420784",way,trunk,"2","60",Roxas Boulevard,yes,Dewey Boulevard,asphalt,,,,,
"MULTILINESTRING ((120.9933319 14.5174059,120.993352 14.5175498))",w156420785,"156420785",way,trunk,"4","60",Roxas Boulevard,yes,,asphalt,,,MMDA,,
"MULTILINESTRING ((120.9920915 14.5370903,120.9919148 14.5370519,120.9917848 14.5370237,120.991142 14.5368842,120.9910403 14.5368621,120.9905696 14.5367599))",w156780902,"156780902",way,trunk,"6","60",EDSA Extension,yes,,,,,,,
"MULTILINESTRING ((120.9923715 14.5369329,120.9926189 14.5369862))",w156782224,"156782224",way,trunk,"6","60",EDSA,yes,,,,,,,
"MULTILINESTRING ((121.0006327 14.5376299,121.0004951 14.5376275))",w156782313,"156782313",way,trunk,"4","60",EDSA,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9597407 14.4595322,120.9598197 14.4596268))",w158209403,"158209403",way,trunk,"5","60",Aguinaldo Highway,no,,asphalt,,General Emilio Aguinaldo Highway,,Cavite - Batangas Road,
"MULTILINESTRING ((120.91667 14.4476987,120.9171769 14.4479987,120.9172721 14.448048,120.9176691 14.4482169,120.917881 14.4482987,120.9184724 14.4484896,120.918915 14.4486402,120.9193218 14.4487945,120.9193622 14.4488043,120.919607 14.4488792,120.9199449 14.4489597,120.9202507 14.4490234,120.9205471 14.4490935,120.920822 14.449161,120.9215114 14.4493714,120.9220156 14.4495467,120.9221698 14.4495974,120.9225306 14.4496922,120.923108 14.4498468,120.9231472 14.4498553,120.923747 14.449987,120.9243853 14.4501298,120.9251055 14.450274,120.9255781 14.4503717,120.9257586 14.4504077,120.9259502 14.4504449,120.9263877 14.4505318))",w158322266,"158322266",way,trunk,"2","60",Tirona Highway,,,,,Daniel Tirona Highway,,,
"MULTILINESTRING ((120.9804895 14.5914536,120.9803567 14.5919818,120.9803007 14.5921555))",w158627305,"158627305",way,trunk,"5","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9797419 14.5853005,120.979895 14.5854319,120.9800274 14.5855656,120.9801812 14.5857366,120.9802813 14.5858627))",w158627306,"158627306",way,trunk,"4","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((121.077628 14.6323772,121.0772373 14.6325764,121.0768829 14.6326936,121.076559 14.6327631,121.0762025 14.6327601,121.0759 14.6326864,121.0756405 14.632555,121.075444 14.6324556,121.074334 14.6319065))",w158979032,"158979032",way,trunk,"4","60",Marcos Highway,yes,,asphalt,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0758799 14.6325063,121.0759749 14.6325363,121.0761151 14.6325806,121.0763197 14.632608,121.0765801 14.6325935,121.0768686 14.6325278,121.0771262 14.632438,121.0773123 14.6323432,121.077428 14.6322805,121.0777688 14.6320491,121.078151 14.6316877,121.078344 14.631451,121.078388 14.6313867,121.0802127 14.6287158,121.0809919 14.6277326,121.081142 14.6275738))",w158979037,"158979037",way,trunk,"3","60",Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0108601 14.6260273,121.0111451 14.626307))",w159636321,"159636321",way,trunk,"2","60",Quezon Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0147408 14.6296206,121.0148327 14.629656))",w159636322,"159636322",way,trunk,"2","60",Quezon Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0110225 14.6263272,121.0106981 14.6260694))",w159636324,"159636324",way,trunk,"2","60",Quezon Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0111451 14.626307,121.0127894 14.6278061,121.0131277 14.6281097,121.0135084 14.6284471,121.0147408 14.6296206))",w159636325,"159636325",way,trunk,"2","60",Quezon Avenue Araneta Underpass,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0146701 14.6296792,121.0134314 14.6284746,121.0130625 14.6281438,121.0110225 14.6263272))",w159636326,"159636326",way,trunk,"2","60",Quezon Avenue Araneta Underpass,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0684671 14.6718039,121.068469 14.6715635,121.0684738 14.6711873,121.0684771 14.6709339,121.0684779 14.6708597,121.0684787 14.6707467,121.0684818 14.6705166,121.0684935 14.6702966,121.0685118 14.6699506,121.0685557 14.6691205,121.0685586 14.6689802,121.0685647 14.6686004,121.0685876 14.6684767,121.0686412 14.6682924,121.0687292 14.6680987,121.0687741 14.6679832))",w160271108,"160271108",way,trunk,"3","60",Luzon Avenue,yes,,,,,MMDA,,
"MULTILINESTRING ((121.0015031 14.6177666,121.0014036 14.6175909,121.0006178 14.6168578,121.0000287 14.6163372,120.9992419 14.6156279))",w161271133,"161271133",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9883429 14.6055735,120.9883945 14.6056204,120.9889601 14.6061339,120.9895164 14.606637))",w161271134,"161271134",way,trunk,"4","60",España Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0018858 14.6178639,121.0019501 14.6178965,121.0020243 14.6179452,121.0021147 14.6180246,121.0022752 14.6181627,121.0029002 14.6187593,121.0031209 14.6189457,121.0034807 14.6192495,121.0043344 14.6200328))",w161271183,"161271183",way,trunk,"5","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,"50",,,,
