WKT,full_id,osm_id,osm_type,highway,lanes,maxspeed,name,oneway,old_name,surface,maxspeed_g,official_n,source_max,alt_name,nat_name
"MULTILINESTRING ((120.9853908 14.6045366,120.9854468 14.6046201,120.9854879 14.6046721,120.9855388 14.604709,120.9856099 14.6047379,120.9857809 14.6047795))",w2667099,"2667099",way,trunk,"2","60",Lerma Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9801968 14.5927997,120.9801611 14.5929514,120.9801248 14.593109,120.9800358 14.5933642,120.9800125 14.5934487,120.9799517 14.5936499,120.9799323 14.5937555,120.9799284 14.5938491,120.9799322 14.593931,120.9799572 14.5940115,120.9799788 14.5940835,120.9800218 14.5941691,120.9800849 14.5942277,120.9801586 14.5942817,120.9804327 14.5944664,120.9808268 14.5947123))",w2667111,"2667111",way,trunk,"3","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9755414 14.5830399,120.9754496 14.5831957,120.9752566 14.5835962,120.9750157 14.5840754,120.9749487 14.584201,120.9744955 14.5850375))",w4075789,"4075789",way,trunk,"4","60",Bonifacio Drive,yes,Malecon Drive,,,,,,
"MULTILINESTRING ((120.9708788 14.590474,120.9710372 14.5903285,120.9711502 14.5902117,120.9712355 14.5900907,120.9716378 14.5894379,120.9716578 14.5894023,120.9718018 14.5891749,120.9720122 14.5888646,120.9725584 14.5879826,120.9726221 14.5878721,120.9729059 14.587421,120.9731475 14.5870191,120.9731883 14.5869513,120.973353 14.5866775,120.9734202 14.5865656,120.9736827 14.5860957,120.9739676 14.5856076,120.9742999 14.5849543,120.9743631 14.5848108,120.9744314 14.5846557))",w4075790,"4075790",way,trunk,"4","60",Bonifacio Drive,yes,Malecon Drive,concrete,,,,,
"MULTILINESTRING ((120.9894112 14.5521423,120.9894925 14.551822,120.9896246 14.551177,120.9898567 14.5502652,120.9901778 14.5490357,120.9903535 14.5486294))",w4075794,"4075794",way,trunk,"2","60",Roxas Boulevard,yes,,,,,,,
"MULTILINESTRING ((121.0259351 14.5472384,121.0296638 14.5503791))",w4078780,"4078780",way,trunk,"3","60",Ayala Tunnel,yes,,asphalt,"50",Epifanio de los Santos Avenue,MMDA,,
"MULTILINESTRING ((120.9969325 14.5770886,120.9970012 14.5769288,120.9970548 14.5768751,120.9972254 14.5765323))",w4078786,"4078786",way,trunk,"5","60",Osmeña Highway,yes,South Superhighway,asphalt,,President Sergio Osmeña Highway,,South Superhighway,South Luzon Expressway
"MULTILINESTRING ((121.050817 14.6534952,121.0505941 14.6536748,121.050417 14.6537982,121.0502123 14.6539316,121.0501025 14.6539996,121.0499685 14.654072,121.0497592 14.6541747,121.0496335 14.654233,121.04946 14.6542887,121.0493319 14.6543237,121.0492164 14.6543508,121.0491051 14.6543702,121.048991 14.6543886,121.0488127 14.6544052,121.0486599 14.6544081,121.0485331 14.6544023,121.0484334 14.6543904,121.0483357 14.654373,121.0482422 14.6543516,121.0481585 14.6543315,121.0480625 14.6543114,121.0478709 14.6542477))",w4084730,"4084730",way,trunk,"10","60",Elliptical Road,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0741879 14.6236702,121.0741212 14.6235181,121.0740901 14.6234471,121.073579 14.6223668,121.0730502 14.6211851,121.0729341 14.6209217,121.0721114 14.6191555,121.0718776 14.6186482))",w4095391,"4095391",way,trunk,"4","60",Katipunan Avenue,yes,,,,Pres. Carlos P. Garcia Avenue,,,
"MULTILINESTRING ((121.124564 14.6248285,121.1247 14.6239833,121.1247833 14.6237219,121.1249029 14.6234825,121.1250072 14.6233252,121.1252152 14.623045,121.1253547 14.6228985,121.1262857 14.6219312,121.1264269 14.6217888,121.1267689 14.6214429,121.127106 14.6210905,121.1271588 14.6210311,121.127571 14.6206039,121.1276728 14.6205055,121.1282134 14.6199905,121.1283514 14.6198496,121.128672 14.6194707,121.1287787 14.6193894,121.1293844 14.6191171,121.1294882 14.6190597,121.1295673 14.6190314,121.1300866 14.6188068,121.1302995 14.6187165,121.1305456 14.6186147,121.1307452 14.6185323,121.1309226 14.6184589,121.130978 14.618436,121.1311226 14.6183842,121.1313082 14.6183178,121.1320951 14.6180816,121.1327867 14.6178633,121.1328457 14.6178426,121.1333429 14.6176981,121.1334297 14.6176741,121.1337025 14.6175806,121.1339575 14.6174932,121.1341552 14.6174254,121.1348557 14.6172223,121.1351886 14.6171618,121.1352478 14.6171593,121.135563 14.6171461,121.1361855 14.6171732,121.1364022 14.6171826,121.1367617 14.617193,121.1369951 14.6172188,121.1370933 14.6172374,121.1372391 14.6172721,121.1373799 14.617324,121.1375195 14.6173876,121.137789 14.617566,121.1379041 14.6176536,121.1382066 14.6178818,121.1386405 14.6181974,121.1387917 14.6183013,121.1393509 14.618724,121.1395523 14.618831,121.1398461 14.6189089,121.1400827 14.6189012,121.1403325 14.6188242,121.1404514 14.6187466,121.1405196 14.6186981,121.1406177 14.6185848,121.1406753 14.6184692,121.1408286 14.6179827,121.1408608 14.6178805,121.1408863 14.6178075,121.1409561 14.6174746,121.1409738 14.6173805,121.1410446 14.6171516,121.1411162 14.6169973,121.1413096 14.6167346,121.141518 14.6165353,121.1417182 14.6164174,121.141883 14.6163541,121.1420433 14.6163125,121.1422703 14.6162853,121.1424541 14.6162965,121.1426094 14.6163278,121.1427044 14.6163567,121.1427447 14.616377,121.1428999 14.6165085,121.1433362 14.6169173,121.143629 14.6172556,121.1437546 14.6175161,121.1438386 14.6177939,121.143942 14.6180293,121.1440898 14.6182255,121.1442208 14.618308,121.1447033 14.6185336,121.1449451 14.6187146,121.1451303 14.6190113,121.1453192 14.6194494,121.1454261 14.6196784,121.1455673 14.619927,121.1457366 14.6200758,121.1461115 14.6202228,121.1463095 14.6202538))",w4243609,"4243609",way,trunk,"4","50",Sumulong Highway,,,asphalt,,,,,
"MULTILINESTRING ((120.992595 14.5371995,120.992555 14.5374913,120.9924954 14.5379596,120.9924316 14.5385769,120.9923317 14.5393266,120.9923049 14.5395116,120.9922493 14.5397231))",w4245637,"4245637",way,trunk,"3","60",Roxas Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9712147 14.5908569,120.9711905 14.5909723,120.9711302 14.5910746,120.9710397 14.5911534,120.9709283 14.5912007))",w4304462,"4304462",way,trunk,"4","40",Anda Circle,yes,,asphalt,,,,Rotonda Anda,
"MULTILINESTRING ((120.9678674 14.5949719,120.9681324 14.5946071,120.9685876 14.5940196,120.9688657 14.5936263,120.9690169 14.5934126,120.9691412 14.5932204,120.9700972 14.5918031,120.9703431 14.5914037,120.9703919 14.5912701,120.9704181 14.5911403,120.9704537 14.5909005))",w4304666,"4304666",way,trunk,"4","60",Mel Lopez Boulevard,yes,Malecon Drive,,,,MMDA,Bonifacio Drive,
"MULTILINESTRING ((120.970856 14.5912119,120.9707348 14.5912751,120.9705964 14.5913794,120.9704932 14.591487,120.9702012 14.5919108,120.9697942 14.5925016,120.9692611 14.5933108,120.9691425 14.5934907,120.9689326 14.5938202,120.9686353 14.5942333,120.9680225 14.59508))",w4304670,"4304670",way,trunk,"4","60",Mel Lopez Boulevard,yes,Malecon Drive,,,,MMDA,Bonifacio Drive,
"MULTILINESTRING ((120.9663623 14.5975594,120.9662917 14.5976681,120.9661166 14.5979575,120.9659846 14.59816))",w4304673,"4304673",way,trunk,,"60",Mel Lopez Boulevard,yes,,,,,MMDA,,
"MULTILINESTRING ((120.9662225 14.5974563,120.9664071 14.5971321,120.9666774 14.596718,120.9671671 14.5960236,120.9678674 14.5949719))",w4304674,"4304674",way,trunk,"4","60",M. Roxas Jr. Bridge,yes,Del Pan Bridge,,,,MMDA,Del Pan Bridge,
"MULTILINESTRING ((120.9659846 14.59816,120.9657646 14.5984081))",w4304676,"4304676",way,trunk,"2","60",Mel Lopez Boulevard,yes,,asphalt,,,MMDA,,
"MULTILINESTRING ((120.9657646 14.5984081,120.9654084 14.5989993,120.9650614 14.5994898,120.9649068 14.5996651,120.9646795 14.5998598,120.9644997 14.5999887,120.9642832 14.600096,120.9634686 14.6004519,120.9627536 14.6007454))",w4304681,"4304681",way,trunk,"2","60",Mel Lopez Boulevard,yes,,asphalt,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((121.0817572 14.6269505,121.0821412 14.6265531,121.0829848 14.6256933,121.0834166 14.6252315))",w4308741,"4308741",way,trunk,"2",,Marcos Highway,yes,,asphalt,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.065319 14.5594935,121.0652905 14.5594535,121.0652591 14.5594094,121.0651524 14.5592847,121.0645408 14.558401))",w4308749,"4308749",way,trunk,"4","60",,yes,,,"50",,,,
"MULTILINESTRING ((121.0707927 14.6146153,121.0708116 14.6146045,121.0708358 14.6145899,121.0708804 14.6145646,121.0709291 14.6145392,121.0710099 14.6145025,121.0710581 14.6144841,121.0711134 14.6144614,121.0711694 14.6144398,121.0712197 14.614424,121.0712737 14.6144125,121.07132 14.6144091,121.0713671 14.6144118,121.0714638 14.6144266))",w4308750,"4308750",way,trunk,"2","60",Libis Tunnel,yes,,concrete,"50",Pres. Carlos P. Garcia Avenue,,,C-5 (Katipunan/Boni Serrano Tunnel)
"MULTILINESTRING ((121.0711358 14.5703713,121.0709848 14.5696765))",w4308762,"4308762",way,trunk,"2","60",,yes,,asphalt,"50",,,,
"MULTILINESTRING ((121.0019589 14.6632424,121.0016716 14.6629672,121.0015558 14.6628665,121.0014194 14.662764,121.0013386 14.6627105,121.0012515 14.6626661,121.0011702 14.6626256,121.0010889 14.6625882,121.0009146 14.6625152,121.0000628 14.6622208,121.0000107 14.6621971,120.9999284 14.6621463,120.9998523 14.6620779,120.9998023 14.6620024,120.9997586 14.6619177,120.9997344 14.6618369,120.9997067 14.6617355,120.9996923 14.6616142,120.9996899 14.6614723,120.9997224 14.6613376))",w4351559,"4351559",way,trunk,"2",,Quirino Highway,yes,,,,,,,
"MULTILINESTRING ((120.9836354 14.6572687,120.9836201 14.657224,120.983611 14.6571778,120.9836083 14.6571308,120.983611 14.6570908,120.9836183 14.6570515,120.9836301 14.6570131))",w4370658,"4370658",way,trunk,"5","40",Monumento Circle,yes,,concrete,,,,,
"MULTILINESTRING ((120.9901918 14.5500298,120.9901358 14.5502887,120.9900353 14.5506663,120.9898996 14.5513084,120.989725 14.5518961))",w4443910,"4443910",way,trunk,"3","60",Roxas Boulevard,yes,,,,,,,
"MULTILINESTRING ((121.0034314 14.6646117,121.003267 14.6645185,121.0031289 14.6644048,121.0028559 14.6641419,121.0027353 14.664033,121.0022515 14.6635444,121.0020724 14.6633543,121.0019589 14.6632424))",w4483559,"4483559",way,trunk,"2","50",Quirino Highway,yes,Manila-del Monte Garay Road,,,,,,
"MULTILINESTRING ((120.9641247 14.695663,120.9641394 14.6955045,120.9641427 14.6954619,120.9641384 14.6953971,120.9641232 14.6951677,120.9640798 14.6945941,120.9640599 14.6943947,120.9640432 14.6942277,120.9640271 14.6940603,120.9640008 14.6937306,120.9639737 14.693461,120.9639711 14.6933001,120.9639906 14.6931697,120.9640352 14.6930246,120.9640723 14.6929402,120.9641266 14.6928444,120.9641846 14.6927785,120.9642963 14.6926624,120.9643777 14.6925821,120.964478 14.6925237,120.964627 14.6924609,120.9647266 14.6924475,120.9648525 14.6924425,120.9649392 14.6924452,120.9650459 14.6924749,120.9651906 14.6925215))",w4483584,"4483584",way,trunk,"3","60",MacArthur Highway,yes,,asphalt,,,PH:urban,,
"MULTILINESTRING ((121.0752122 14.6129223,121.0754503 14.6117092,121.0755867 14.6110746,121.0756956 14.6107319,121.0757746 14.6105405,121.0758335 14.6104138,121.0759249 14.6102502,121.0760315 14.6101036,121.0761569 14.6099273,121.0762887 14.6097756,121.0764938 14.6095452,121.0765737 14.6094555,121.0766472 14.609373,121.0768678 14.6091375,121.0772909 14.6086689,121.0773845 14.6085692))",w4483878,"4483878",way,trunk,"4","60",E. Rodriguez Jr. Avenue,yes,,concrete,"50",,,,
"MULTILINESTRING ((120.9753411 14.5829284,120.9754055 14.5828133))",w4486368,"4486368",way,trunk,,"60",Roxas Boulevard,yes,,,,,,,
"MULTILINESTRING ((120.9903535 14.5486294,120.990885 14.5463578,120.991016 14.5458002,120.9910514 14.5456619,120.9910907 14.5455054,120.9912421 14.5449326,120.9913866 14.5440903,120.9916015 14.5428374,120.9917477 14.5420261,120.9919068 14.5411017,120.9919186 14.5410331,120.9919717 14.540724,120.9921007 14.5397117))",w4486372,"4486372",way,trunk,"4","60",Roxas Boulevard,yes,Dewey Boulevard,asphalt,,,,,
"MULTILINESTRING ((120.987697 14.5577992,120.988014 14.5568062,120.9881932 14.5562156,120.9884244 14.5554952,120.988674 14.554717,120.9888542 14.5541611))",w4486376,"4486376",way,trunk,"3","60",Roxas Boulevard,yes,Dewey Boulevard,,,,,,
"MULTILINESTRING ((120.9842307 14.5988322,120.984294 14.599133,120.9844193 14.5997285,120.9845448 14.6003247,120.9845778 14.6004817,120.98458 14.600492,120.9846114 14.6006411))",w4486405,"4486405",way,trunk,"5","60",Quezon Boulevard,yes,,asphalt,,,,,
"MULTILINESTRING ((121.0740375 14.6315883,121.0742305 14.6316867,121.0743251 14.6317342))",w4486432,"4486432",way,trunk,"4","60",Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.1049674 14.6214531,121.1047983 14.6214181,121.1045003 14.6213706,121.1042931 14.6213267,121.1039538 14.6212433,121.1029107 14.6210277,121.1024935 14.6209423))",w4486547,"4486547",way,trunk,"5",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((120.927089 14.4506649,120.9272372 14.4506461,120.9273262 14.4506403,120.9274194 14.450622))",w4525143,"4525143",way,trunk,"2","80",Tirona Highway,yes,,asphalt,,Daniel Tirona Highway,,,
"MULTILINESTRING ((121.0870064 14.6996256,121.0870922 14.6992364,121.087151 14.6988495,121.0871847 14.6985106,121.0872095 14.6981238,121.0872173 14.6979362,121.0872213 14.6978353,121.0872255 14.6977282,121.087234 14.6971931,121.087231 14.6969726,121.0872278 14.6967303,121.0872295 14.695916,121.0872239 14.6955431,121.0872076 14.6946537,121.0871988 14.6941455,121.0871823 14.6935951,121.0871679 14.6928417,121.0871686 14.6923371,121.0871709 14.6905577,121.087149 14.6892893,121.0871489 14.6891956,121.0871423 14.6890583,121.0871166 14.6885211,121.0870773 14.6879904,121.0869941 14.6874728))",w4637715,"4637715",way,trunk,"7","60",Commonwealth Avenue,yes,Don Mariano Marcos Avenue,,,,,,
"MULTILINESTRING ((121.0814158 14.6274579,121.0810677 14.6278279,121.0806977 14.6283211,121.0803713 14.6287561,121.080077 14.6291765,121.0798894 14.6294446,121.0794895 14.6300363,121.0790201 14.630731))",w4638278,"4638278",way,trunk,"2",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0843005 14.624471,121.0838607 14.624908))",w4638279,"4638279",way,trunk,"3",,Marcos Highway,yes,,asphalt,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0925531 14.6188483,121.0924034 14.6188154,121.0922197 14.6187795,121.0920024 14.6187408,121.0918023 14.6187084,121.0915467 14.6186895,121.0914106 14.6186819,121.0911362 14.618691))",w4709155,"4709155",way,trunk,"5",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0977365 14.6199168,121.0975936 14.6198888,121.0975637 14.619883,121.0972549 14.6198227,121.0969537 14.6197639,121.0967703 14.6197281,121.0954724 14.6194632,121.0949539 14.6193572))",w4794379,"4794379",way,trunk,"5",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0978959 14.6197633,121.0985771 14.6199053,121.0992033 14.6200374,121.0994429 14.620088,121.0996027 14.6201228,121.1006328 14.6203471,121.1010231 14.6204256,121.1011643 14.6204639,121.101418 14.6205196,121.1016854 14.6205783,121.1019224 14.6206304))",w4794418,"4794418",way,trunk,"5",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((121.0925396 14.6186584,121.0933896 14.6188233,121.0943095 14.6190192))",w4794433,"4794433",way,trunk,"5",,Marcos Highway,yes,,,,,,Marikina-Infanta Road,
"MULTILINESTRING ((120.9583352 14.720557,120.9585324 14.7208848,120.9585685 14.7209447,120.9586029 14.7210018))",w4928959,"4928959",way,trunk,"4","60",MacArthur Highway,,,asphalt,,,PH:urban,,
"MULTILINESTRING ((121.0742637 14.6345592,121.0742128 14.6335047,121.0741556 14.6321861,121.0741237 14.6313268,121.0741132 14.6306661,121.0741122 14.6298105,121.0741201 14.6284792))",w4935636,"4935636",way,trunk,"3","60",Katipunan Flyover,yes,,asphalt,"50",Katipunan Avenue,,,
"MULTILINESTRING ((121.0741201 14.6284792,121.0741322 14.6280902,121.0741242 14.6275715))",w4935691,"4935691",way,trunk,"3","60",Katipunan Avenue,yes,,,"50",,,,
"MULTILINESTRING ((121.0742364 14.6284673,121.0742389 14.629804,121.0742298 14.6306661,121.0742327 14.6310113,121.0742403 14.6313268,121.0742775 14.6321861,121.0743356 14.6334969,121.074385 14.6345647))",w4935911,"4935911",way,trunk,"3","60",Katipunan Flyover,yes,,asphalt,"50",Katipunan Avenue,,,
"MULTILINESTRING ((121.0574318 14.6570415,121.0572487 14.6569191,121.0563125 14.6562458))",w5019396,"5019396",way,trunk,"3","50",Commonwealth Avenue Bus Lane,yes,Don Mariano Marcos Avenue,asphalt,,,,,
"MULTILINESTRING ((121.046579 14.6497041,121.0468295 14.6497337,121.0469651 14.6497466,121.0470219 14.6497432,121.047165 14.6497009,121.0475796 14.6495781))",w5019421,"5019421",way,trunk,"3","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,,,,,
"MULTILINESTRING ((121.0468475 14.6506415,121.0467061 14.6501902,121.0466862 14.6501394))",w5019422,"5019422",way,trunk,"3","60",Quezon Avenue,yes,Don Mariano Marcos Avenue,asphalt,,,,,
"MULTILINESTRING ((121.0743074 14.6494485,121.0743179 14.6491559,121.0743123 14.648645,121.0743096 14.6485488,121.0743078 14.6483406))",w5020042,"5020042",way,trunk,"6","60",Katipunan Avenue,yes,,,,,,,
"MULTILINESTRING ((121.074385 14.6345647,121.0744926 14.6359747,121.0745545 14.6362699))",w5020044,"5020044",way,trunk,"6","60",Katipunan Avenue,yes,,,"50",,,,
"MULTILINESTRING ((121.0744637 14.6245798,121.0744862 14.6252757,121.0744489 14.6258931,121.0742936 14.6269192,121.0742694 14.6272965,121.0742573 14.627599))",w5020045,"5020045",way,trunk,"3","60",Katipunan Avenue,yes,,,"50",,,,
"MULTILINESTRING ((121.0706993 14.615697,121.0707193 14.6157837,121.0707342 14.6158342,121.0707519 14.6158911,121.0707692 14.6159377,121.0716137 14.6178197,121.0717785 14.6181025))",w5020146,"5020146",way,trunk,"2","60",Katipunan Avenue,yes,,concrete,"50",Pres. Carlos P. Garcia Avenue,,,
"MULTILINESTRING ((120.9879152 14.6054262,120.9878385 14.6053886,120.9877201 14.6053579,120.9868429 14.605155,120.9856813 14.6048449,120.985611 14.6048215,120.9855588 14.604808))",w5032435,"5032435",way,trunk,"4","60",Lerma Avenue,yes,,,,,,,
"MULTILINESTRING ((121.0654221 14.5594221,121.0665009 14.560951))",w5036105,"5036105",way,trunk,"3","60",C-5 - Bagong Ilog Bridge,yes,,,"50",,,,
"MULTILINESTRING ((120.9904444 14.6571153,120.9926642 14.6571343,120.9929011 14.6571384,120.9930777 14.6571414,120.994434 14.6571646,120.9961486 14.6571861,120.9966045 14.6571947,120.9966614 14.6571951,120.9970704 14.6571989,120.9973864 14.6571989,120.9978508 14.6572003,120.998472 14.657217,120.9987158 14.6572149,120.9988658 14.6572128))",w5073010,"5073010",way,trunk,"6","60",EDSA,yes,,concrete,"50",Epifanio de los Santos Avenue,,,
"MULTILINESTRING ((121.0738506 14.6677527,121.0723195 14.6667282,121.0713822 14.6661227))",w5095270,"5095270",way,trunk,"7","60",Commonwealth Avenue,yes,Don Mariano Marcos Avenue,,,,,,
"MULTILINESTRING ((121.1089203 14.5877462,121.1085713 14.5878257))",w6059049,"6059049",way,trunk,"2",,Ortigas Avenue Extension,yes,,asphalt,,,,,Manila East Road
"MULTILINESTRING ((121.0423963 14.6369247,121.0422612 14.6371252,121.0421696 14.6372635,121.0414469 14.6383767,121.0408971 14.6392272,121.0405784 14.6397194))",w6119724,"6119724",way,trunk,"5","60",EDSA,yes,,,,Epifanio de los Santos Avenue,,,
"MULTILINESTRING ((121.0499102 14.6219086,121.0507711 14.6200193,121.0512958 14.6188872))",w9793969,"9793969",way,trunk,"3","60",EDSA-Cubao Underpass,yes,,,"50",Epifanio de los Santos Avenue,,EDSA,
"MULTILINESTRING ((121.0703131 14.5668316,121.0702961 14.5663259,121.0702729 14.566129,121.0702546 14.5660303))",w10414467,"10414467",way,trunk,"3","60",E. Rodriguez Jr. Avenue,yes,,asphalt,"50",,,,
"MULTILINESTRING ((120.9594922 14.629007,120.9595659 14.6287274,120.9596362 14.628403,120.9597073 14.6280228,120.9597903 14.6275984,120.9598616 14.6271456,120.9599005 14.6268004,120.9599461 14.6263677,120.959968 14.6259245,120.9599861 14.6253956,120.9599935 14.6248942,120.9599943 14.6247847,120.9599956 14.6246365,120.9599683 14.6241751,120.9599412 14.6237184,120.959907 14.6232365,120.9598665 14.6227781,120.9598003 14.6219501,120.9597865 14.6217772,120.9597496 14.621188,120.9597138 14.6206164,120.959711 14.6205534,120.9597105 14.6204068))",w14116719,"14116719",way,trunk,"4","60",Mel Lopez Boulevard,yes,,asphalt,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((120.9921131 14.5368771,120.9922949 14.5369163))",w14340688,"14340688",way,trunk,"6","60",EDSA Extension,yes,,,,,,,
"MULTILINESTRING ((120.9922949 14.5369163,120.9923715 14.5369329))",w14340690,"14340690",way,trunk,"6","60",EDSA Extension,yes,,,,,,,
"MULTILINESTRING ((120.9922688 14.5371287,120.9920915 14.5370903))",w14340691,"14340691",way,trunk,"6","60",EDSA Extension,yes,,,,,,,
"MULTILINESTRING ((120.94788 14.6504637,120.9484565 14.6496184))",w14341646,"14341646",way,trunk,"4","60",Radial Road 10,yes,,,,,MMDA,,
"MULTILINESTRING ((120.9484565 14.6496184,120.949228 14.6485829,120.9495109 14.6482728,120.9498355 14.6479808,120.949987 14.6478069,120.9501351 14.6475764,120.9508093 14.6464135,120.951536 14.6454887,120.9520342 14.6448419,120.952077 14.6447864,120.9537135 14.6427034,120.9543738 14.641863,120.9547238 14.6414114,120.9550457 14.6409066))",w14341647,"14341647",way,trunk,"4","60",Radial Road 10,yes,,,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((120.959348 14.629564,120.9594922 14.629007))",w14342822,"14342822",way,trunk,"4",,Mel Lopez Boulevard,yes,,asphalt,,,,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((120.9624278 14.6009672,120.9623077 14.6010732,120.9621521 14.6012402,120.9620314 14.6013679,120.9619487 14.6014683,120.9619115 14.6015765,120.9618417 14.6017682,120.9618408 14.6017719,120.9618044 14.6019306,120.9617098 14.6025565))",w14342823,"14342823",way,trunk,"5","60",Mel Lopez Boulevard,yes,,asphalt,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((120.9577604 14.6342579,120.9579857 14.6336095))",w14342853,"14342853",way,trunk,"5","60",Radial Road 10,yes,,asphalt,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((120.9579857 14.6336095,120.9581162 14.6332475,120.9583499 14.632581,120.9585696 14.6319551,120.9586842 14.631618,120.9590747 14.6304699,120.9592253 14.6299767,120.959348 14.629564))",w14342855,"14342855",way,trunk,"4","60",Mel Lopez Boulevard,yes,,asphalt,,,MMDA,President Ferdinand Marcos Avenue,
"MULTILINESTRING ((121.0002766 14.6572083,121.0003059 14.6574698,121.0003122 14.6579245))",w15090805,"15090805",way,trunk,"4","60",Andres Bonifacio Avenue,yes,,,,,,,
"MULTILINESTRING ((121.0034314 14.6646117,121.0035372 14.6646705,121.0036538 14.6647262,121.0038284 14.6647703,121.0042072 14.6648463,121.0045341 14.664935,121.0046981 14.6649971,121.0048385 14.6650575,121.0055769 14.6654831,121.0060233 14.6657544,121.006361 14.6659507,121.0065813 14.6661373,121.0068455 14.666349,121.0071457 14.6666615,121.0073864 14.6669163,121.007765 14.6672943,121.0080708 14.6676329,121.0082992 14.6678796,121.0084887 14.668097,121.0086315 14.6682424,121.0087608 14.6684021,121.0091138 14.6688187,121.0096003 14.6693407,121.0099521 14.6696941,121.0100203 14.6697918,121.0101778 14.6699507,121.0104618 14.6702324,121.0108906 14.6706641,121.0111494 14.6709521,121.0113822 14.671244,121.0114252 14.6712957,121.0115679 14.6714593,121.0117451 14.6716387,121.0121224 14.6720608,121.0122197 14.6721799,121.0127064 14.6727027,121.0127581 14.672777,121.013088 14.67315,121.0133498 14.6734954,121.0137923 14.6740709,121.0138927 14.6742306,121.0141778 14.6745206,121.014588 14.6750246,121.0150106 14.6755806,121.0151236 14.6757247,121.0153989 14.6760605,121.0157776 14.6765308,121.0162262 14.6770403,121.0167163 14.6775058,121.017066 14.6779029))",w15091095,"15091095",way,trunk,"4","50",Quirino Highway,,Manila-del Monte Garay Road,,,,,,
"MULTILINESTRING ((120.9797019 14.5942804,120.9794947 14.5942225,120.9791912 14.5941306,120.9790797 14.5940623,120.9789887 14.5939337,120.9789501 14.5938389,120.9789433 14.5937117,120.9789566 14.5935865,120.9790467 14.5934249,120.9792123 14.5932205,120.9796703 14.5926276,120.9798549 14.5924))",w15868688,"15868688",way,trunk,"4","60",Padre Burgos Avenue,yes,,,,,,,
"MULTILINESTRING ((120.9754055 14.5828133,120.9756109 14.582927))",w16176832,"16176832",way,trunk,"4","60",,yes,,,,,,,
"MULTILINESTRING ((120.9658519 14.5980958,120.9660571 14.5977471,120.9662225 14.5974563))",w16268613,"16268613",way,trunk,"4","60",Mel Lopez Boulevard,yes,,,,,MMDA,,
"MULTILINESTRING ((121.1431757 14.5777178,121.1430652 14.5777766,121.1429099 14.5778179,121.1425312 14.577925,121.1420178 14.5780887,121.141519 14.5782378,121.1404395 14.5785862,121.1388783 14.5790782,121.1387766 14.5791113,121.1378788 14.5793814,121.1375476 14.5794846,121.1374249 14.5795228,121.1364214 14.5798354,121.1359341 14.5799841,121.1355201 14.5801147,121.1335515 14.5807238,121.1334506 14.5807556,121.1333902 14.5807746,121.130952 14.5815425,121.1305636 14.5816646,121.1295424 14.5819855,121.1289935 14.5821507,121.1288223 14.5822094,121.1277336 14.5825565,121.1273295 14.5826865,121.1272805 14.5827013,121.1270859 14.5827698,121.126784 14.5828771,121.1266955 14.5829036,121.1265662 14.5829424,121.1265054 14.5829606,121.125112 14.5833951,121.1250194 14.583424,121.1247464 14.5835019))",w16277742,"16277742",way,trunk,"2","80",Ortigas Avenue Extension,yes,,asphalt,,,,Cainta-Kayticling-Antipolo-Teresa-Morong Rd,
"MULTILINESTRING ((120.9662474 14.6588132,120.9655661 14.6588631,120.9652689 14.6588693,120.9649406 14.6588645,120.964652 14.6588841,120.9643067 14.6588176,120.9641614 14.6587921,120.9637937 14.6586883,120.9634895 14.6585858,120.9632166 14.6584603,120.9624517 14.6581086,120.9621299 14.6579227))",w16279753,"16279753",way,trunk,"3","60",C-4 Road,yes,,asphalt,,,,,
"MULTILINESTRING ((120.9836354 14.6572687,120.9833967 14.6571607,120.983191 14.6571613,120.9828476 14.6571681,120.9824632 14.657177,120.9821896 14.6571776,120.9821301 14.6571495))",w16281927,"16281927",way,trunk,"2","60",Samson Road,yes,,concrete,,,,,
